tile_id,source,CWNS_ID,TRI_FACILITY_ID,ll_uuid_primary,ll_uuid_alternates,st,geoid,tile_row,tile_col,ctr_lon,ctr_lat,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,source_res_m,target_res_m,image_px,acq_date,rgb_path,ndwi_path,label
17000281001_6fcc5c83-3169-4bd4-930e-143ad9895c1e_r01_c01,reconstructed,17000281001,,6fcc5c83-3169-4bd4-930e-143ad9895c1e,,IL,,1,1,-89.77671025307554,38.90750952275321,-89.77794791015565,38.90656085708594,-89.77547256772567,38.90845817903623,,0.6,333,,,,
18000017001_3c2f9ef9-c518-4035-ba31-e048d16ca9c3_r01_c05,reconstructed,18000017001,,3c2f9ef9-c518-4035-ba31-e048d16ca9c3,,IN,,1,5,-86.06265433577165,39.934494770877045,-86.06395174318902,39.93351403110813,-86.06135689965826,39.93547550230287,,0.6,333,,,,
13000000715_facaf8fa-14f6-49cb-93e9-5b5a80f5bf05_r03_c02,reconstructed,13000000715,,facaf8fa-14f6-49cb-93e9-5b5a80f5bf05,,GA,,3,2,-84.90819279129191,33.296995285213534,-84.90939213561693,33.29600143099975,-84.90699342304804,33.2979891301649,,0.6,333,,,,
55007720002_d2ab458b-8a29-45e7-a98c-a27e80e26d44_r04_c01,reconstructed,55007720002,,d2ab458b-8a29-45e7-a98c-a27e80e26d44,,WI,,4,1,-88.73681214663065,43.174584109729004,-88.73813924696178,43.17362293480922,-88.73548501450678,43.17554527626318,,0.6,333,,,,
55002850001_470e941c-6220-4590-a16d-36b4f8a1017a_r01_c02,reconstructed,55002850001,,470e941c-6220-4590-a16d-36b4f8a1017a,,WI,,1,2,-88.87630903978955,44.67184546152387,-88.87766390063386,44.67088275203599,-88.8749541457099,44.67280816290277,,0.6,333,,,,
55007720002_d2ab458b-8a29-45e7-a98c-a27e80e26d44_r02_c01,reconstructed,55007720002,,d2ab458b-8a29-45e7-a98c-a27e80e26d44,,WI,,2,1,-88.73706512431703,43.172191403306,-88.73839217548557,43.17123023428745,-88.73573804135793,43.17315256393831,,0.6,333,,,,
18000017001_3c2f9ef9-c518-4035-ba31-e048d16ca9c3_r03_c05,reconstructed,18000017001,,3c2f9ef9-c518-4035-ba31-e048d16ca9c3,,IN,,3,5,-86.06232406528721,39.936873496266614,-86.06362151931908,39.93589275266311,-86.06102658255746,39.93785423152747,,0.6,333,,,,
05000512001_d7e0d1fb-7513-4b79-b8f9-c40a0e10d01e_r01_c01,reconstructed,05000512001,,d7e0d1fb-7513-4b79-b8f9-c40a0e10d01e,,AR,,1,1,-91.98010403777522,35.00544540807057,-91.98125459847488,35.00451464174351,-91.978953451478,35.00637616401472,,0.6,333,,,,
06002127001_b1d49e85-8b4f-4d6d-b704-2212aa5920b4_r01_c01,reconstructed,06002127001,,b1d49e85-8b4f-4d6d-b704-2212aa5920b4,,CA,,1,1,-122.36097652272247,38.39377551863366,-122.36240471582349,38.39267313856387,-122.35954835352058,38.39487789353122,,0.6,333,,,,
12000092002_7df14ceb-5ea1-4171-b383-f8d986a38bdb_r06_c05,reconstructed,12000092002,,7df14ceb-5ea1-4171-b383-f8d986a38bdb,,FL,,6,5,-80.63661460768378,28.317207359522964,-80.63778184957702,28.31616868692342,-80.635447345158,28.31824602269436,,0.6,333,,,,
55003620001_39b6459f-0dae-442e-bf38-7c2685c27358_r02_c01,reconstructed,55003620001,,39b6459f-0dae-442e-bf38-7c2685c27358,,WI,,2,1,-88.56121064539902,44.02033416564468,-88.5625563706582,44.019370020933025,-88.55986488757048,44.021298302194175,,0.6,333,,,,
12000099007_7f77e6e0-ef02-4db8-bdf4-f7b6daa26fd4_r02_c03,reconstructed,12000099007,,7f77e6e0-ef02-4db8-bdf4-f7b6daa26fd4,,FL,,2,3,-80.70353919774612,28.422346178737644,-80.70470730034803,28.42130831701267,-80.70237107445054,28.42338403104425,,0.6,333,,,,
12000094001_a8daeab4-82d2-4ed7-80c1-c1473002b158_r02_c01,reconstructed,12000094001,,a8daeab4-82d2-4ed7-80c1-c1473002b158,,FL,,2,1,-80.72358331440347,28.329205434827024,-80.72474995269046,28.328167479187346,-80.72241665546548,28.330243381027774,,0.6,333,,,,
12000092002_7df14ceb-5ea1-4171-b383-f8d986a38bdb_r05_c02,reconstructed,12000092002,,7df14ceb-5ea1-4171-b383-f8d986a38bdb,,FL,,5,2,-80.64086829337897,28.316596093772198,-80.64203548923945,28.315557452965233,-80.63970107688566,28.317634725150356,,0.6,333,,,,
17000639001_35b8ae17-8939-4e69-9176-da12504a4cdb_r01_c02,reconstructed,17000639001,,35b8ae17-8939-4e69-9176-da12504a4cdb,,IL,,1,2,-88.28438084522332,42.013096905893455,-88.28569121849513,42.01213337738437,-88.28307044125256,42.01406042590864,,0.6,333,,,,
13000000715_facaf8fa-14f6-49cb-93e9-5b5a80f5bf05_r11_c12,reconstructed,13000000715,,facaf8fa-14f6-49cb-93e9-5b5a80f5bf05,,GA,,11,12,-84.89245710840763,33.305132555220794,-84.89365673358411,33.30413858271956,-84.89125745930924,33.306126518463905,,0.6,333,,,,
18000006001_a0dd987e-cdea-46c7-ab9c-56441dc5393a_r01_c01,reconstructed,18000006001,,a0dd987e-cdea-46c7-ab9c-56441dc5393a,,IN,,1,1,-86.27055282456516,39.9455565063457,-86.27184812919928,39.94457750182964,-86.26925749119981,39.94653550247162,,0.6,333,,,,
55002880001_06de6278-2bb6-47fa-b66d-d060cc47eae6_r02_c04,reconstructed,55002880001,,06de6278-2bb6-47fa-b66d-d060cc47eae6,,WI,,2,4,-90.13033290002718,44.635621736948785,-90.13167154448568,44.63467011544606,-90.12899422224822,44.63657334997623,,0.6,333,,,,
13000000715_facaf8fa-14f6-49cb-93e9-5b5a80f5bf05_r01_c16,reconstructed,13000000715,,facaf8fa-14f6-49cb-93e9-5b5a80f5bf05,,GA,,1,16,-84.88839249820873,33.29265293189065,-84.8895919738084,33.29165890783015,-84.88719299869524,33.29364694669168,,0.6,333,,,,
13000000715_facaf8fa-14f6-49cb-93e9-5b5a80f5bf05_r03_c08,reconstructed,13000000715,,facaf8fa-14f6-49cb-93e9-5b5a80f5bf05,,GA,,3,8,-84.89956201087215,33.2961564032341,-84.90076142847818,33.295162476500465,-84.89836256934883,33.2971503207068,,0.6,333,,,,
19000178001_ddc9f7ae-89e8-4a07-8e2b-716862d6f220_r02_c01,reconstructed,19000178001,,ddc9f7ae-89e8-4a07-8e2b-716862d6f220,,IA,,2,1,-92.86353304335026,42.21935016182157,-92.86479199303558,42.21842694465086,-92.8622740624405,42.22027336934394,,0.6,333,,,,
